program,flag,time_compile,time_run
n_body,no-flag,72,7818
n_body,no-flag,84,7857
n_body,no-flag,68,7871
n_body,no-flag,80,8089
n_body,no-flag,101,7857
n_body,no-flag,116,7697
n_body,no-flag,113,7891
n_body,no-flag,72,8374
n_body,no-flag,78,7838
n_body,no-flag,77,8149
n_body,no-flag,94,7978
n_body,no-flag,109,7694
n_body,no-flag,107,8090
n_body,no-flag,103,7713
n_body,no-flag,104,8169
n_body,no-flag,86,8315
n_body,no-flag,115,8095
n_body,no-flag,105,8508
n_body,no-flag,70,8185
n_body,no-flag,67,8416
n_body,no-flag,68,7860
n_body,no-flag,83,7843
n_body,no-flag,69,8401
n_body,no-flag,72,7904
n_body,no-flag,81,7956
n_body,no-flag,71,8157
n_body,no-flag,104,7952
n_body,no-flag,100,8345
n_body,no-flag,104,8576
n_body,O1,133,2872
n_body,O1,128,2763
n_body,O1,69,2761
n_body,O1,109,2792
n_body,O1,124,2634
n_body,O1,109,2645
n_body,O1,135,2710
n_body,O1,138,2793
n_body,O1,141,2701
n_body,O1,133,2940
n_body,O1,135,2779
n_body,O1,117,2682
n_body,O1,82,2902
n_body,O1,107,2843
n_body,O1,121,3005
n_body,O1,103,2826
n_body,O1,88,2765
n_body,O1,89,2681
n_body,O1,79,2687
n_body,O1,78,2869
n_body,O1,77,2679
n_body,O1,105,2707
n_body,O1,84,2920
n_body,O1,92,2884
n_body,O1,79,2702
n_body,O1,76,2777
n_body,O1,98,3080
n_body,O1,105,3019
n_body,O1,93,2746
n_body,O1,109,2818
n_body,O1,82,2807
n_body,O1,60,2884
n_body,O1,69,2740
n_body,O1,71,2959
n_body,O1,85,2901
n_body,O1,85,2717
n_body,O1,85,2864
n_body,O1,96,3025
n_body,O1,87,3118
n_body,O1,81,2995
n_body,O1,91,3049
n_body,O1,81,2798
n_body,O1,111,2882
n_body,O1,85,2811
n_body,O1,108,2774
n_body,O1,139,2935
n_body,O1,116,2875
n_body,O1,108,3044
n_body,O1,105,2873
n_body,O1,104,2988
n_body,O1,115,2940
n_body,O1,105,3144
n_body,O1,104,3182
n_body,O1,111,2889
n_body,O1,107,2867
n_body,O1,80,2902
n_body,O1,107,3153
n_body,O1,113,3220
n_body,O1,107,2968
n_body,O1,114,2998
n_body,O1,111,3329
n_body,O1,117,3043
n_body,O1,112,3411
n_body,O1,103,3365
n_body,O1,114,3068
n_body,O1,106,2976
n_body,O1,104,3268
n_body,O1,106,2953
n_body,O1,109,2970
n_body,O1,89,3306
n_body,O1,105,3248
n_body,O1,84,3254
n_body,O1,81,3313
n_body,O1,79,3050
n_body,O1,77,2983
n_body,O1,105,3032
n_body,O1,83,2957
n_body,O1,104,3088
n_body,O1,84,3045
n_body,O1,95,3080
n_body,O1,105,3071
n_body,O1,104,3384
n_body,O1,76,3294
n_body,O1,101,3275
n_body,O1,93,3091
n_body,O1,97,3274
n_body,O1,90,2907
n_body,O1,77,3277
n_body,O1,120,2961
n_body,O1,66,3248
n_body,O1,78,3141
n_body,O1,85,3093
n_body,O1,81,3131
n_body,O1,92,3075
n_body,O1,99,2926
n_body,O1,78,2963
n_body,O1,76,3284
n_body,O1,101,3315
n_body,O1,84,2959
n_body,O1,79,3228
n_body,O2,100,2894
n_body,O2,119,2698
n_body,O2,98,2580
n_body,O2,98,2579
n_body,O2,98,2523
n_body,O2,97,2730
n_body,O2,119,2603
n_body,O2,116,2763
n_body,O2,137,2620
n_body,O2,116,2715
n_body,O2,120,2839
n_body,O2,121,2911
n_body,O2,111,2591
n_body,O2,100,2732
n_body,O2,98,2574
n_body,O2,116,2787
n_body,O2,103,2553
n_body,O2,100,2570
n_body,O2,101,2632
n_body,O2,104,2587
n_body,O2,98,2778
n_body,O2,96,2746
n_body,O2,96,2769
n_body,O2,102,2522
n_body,O2,96,2537
n_body,O2,96,2619
n_body,O2,97,2582
n_body,O2,106,2571
n_body,O2,100,2784
n_body,O2,99,2523
n_body,O2,97,2701
n_body,O2,98,2523
n_body,O2,112,2557
n_body,O2,102,2648
n_body,O2,103,2541
n_body,O2,104,2601
n_body,O2,115,2575
n_body,O2,104,2859
n_body,O2,103,2541
n_body,O2,101,2569
n_body,O2,100,2570
n_body,O2,97,2603
n_body,O2,98,2706
n_body,O2,97,2651
n_body,O2,103,2553
n_body,O2,100,2701
n_body,O2,98,2785
n_body,O2,106,2538
n_body,O2,106,2808
n_body,O2,99,2560
n_body,O2,101,2606
n_body,O2,103,2569
n_body,O2,108,2600
n_body,O2,103,2841
n_body,O2,96,2739
n_body,O2,102,2587
n_body,O2,111,2858
n_body,O2,95,2886
n_body,O2,90,2821
n_body,O2,97,2572
n_body,O2,101,2827
n_body,O2,101,2689
n_body,O2,113,2825
n_body,O2,103,2541
n_body,O2,98,2796
n_body,O2,104,2587
n_body,O2,103,2623
n_body,O2,101,2626
n_body,O2,98,2634
n_body,O2,108,2908
n_body,O2,103,2729
n_body,O2,100,2919
n_body,O2,102,2682
n_body,O2,103,2881
n_body,O2,98,2896
n_body,O2,96,2826
n_body,O2,96,2980
n_body,O2,104,2636
n_body,O2,102,2879
n_body,O2,96,2822
n_body,O2,108,2832
n_body,O2,101,2817
n_body,O2,102,2570
n_body,O2,111,2808
n_body,O2,103,2550
n_body,O2,98,2548
n_body,O2,96,2546
n_body,O2,102,2580
n_body,O2,95,2558
n_body,O2,95,2566
n_body,O2,98,2845
n_body,O2,96,2559
n_body,O2,97,2623
n_body,O2,99,2913
n_body,O2,110,2634
n_body,O2,96,2591
n_body,O2,97,2714
n_body,O2,97,2868
n_body,O2,113,2974
n_body,O2,107,2686
n_body,O3,374,2484
n_body,O3,149,2455
n_body,O3,169,2473
n_body,O3,118,2474
n_body,O3,109,2464
n_body,O3,121,2469
n_body,O3,139,2459
n_body,O3,147,2460
n_body,O3,146,2790
n_body,O3,135,2481
n_body,O3,125,2753
n_body,O3,121,2644
n_body,O3,124,2463
n_body,O3,122,2739
n_body,O3,147,2488
n_body,O3,146,2477
n_body,O3,129,2677
n_body,O3,129,2684
n_body,O3,142,2468
n_body,O3,127,2475
n_body,O3,144,2506
n_body,O3,125,2489
n_body,O3,115,2503
n_body,O3,131,2463
n_body,O3,106,2732
n_body,O3,116,2697
n_body,O3,119,2778
n_body,O3,111,2472
n_body,O3,123,2511
n_body,O3,147,2756
n_body,O3,119,2708
n_body,O3,117,2546
n_body,O3,111,2459
n_body,O3,110,2713
n_body,O3,117,2484
n_body,O3,113,2488
n_body,O3,123,2690
n_body,O3,164,2744
n_body,O3,118,2553
n_body,O3,121,2735
n_body,O3,111,2476
n_body,O3,115,2768
n_body,O3,121,2760
n_body,O3,118,2522
n_body,O3,144,2739
n_body,O3,119,2505
n_body,O3,112,2526
n_body,O3,115,2495
n_body,O3,120,2547
n_body,O3,111,2628
n_body,O3,110,2500
n_body,O3,114,2700
n_body,O3,115,2718
n_body,O3,123,2689
n_body,O3,114,2500
n_body,O3,114,2487
n_body,O3,112,2499
n_body,O3,115,2807
n_body,O3,115,2702
n_body,O3,124,2656
n_body,O3,111,2464
n_body,O3,115,2465
n_body,O3,115,2508
n_body,O3,115,2506
n_body,O3,113,2502
n_body,O3,110,2539
n_body,O3,111,2749
n_body,O3,114,2497
n_body,O3,115,2457
n_body,O3,125,2463
n_body,O3,112,2492
n_body,O3,113,2699
n_body,O3,115,2711
n_body,O3,115,2478
n_body,O3,123,2526
n_body,O3,145,2695
n_body,O3,121,2758
n_body,O3,136,2550
n_body,O3,131,2481
n_body,O3,123,2635
n_body,O3,124,2780
n_body,O3,129,2767
n_body,O3,121,2526
n_body,O3,134,2693
n_body,O3,141,2775
n_body,O3,130,2726
n_body,O3,126,2544
n_body,O3,129,2522
n_body,O3,120,2617
n_body,O3,116,2509
n_body,O3,114,2458
n_body,O3,114,2677
n_body,O3,122,2470
n_body,O3,135,2492
n_body,O3,110,2456
n_body,O3,136,2484
n_body,O3,117,2457
n_body,O3,111,2490
n_body,O3,110,2540
n_body,O3,115,2498
n_body,Os,93,3397
n_body,Os,82,3722
n_body,Os,79,3396
n_body,Os,79,3345
n_body,Os,83,3662
n_body,Os,83,3672
n_body,Os,81,3382
n_body,Os,101,3367
n_body,Os,87,3373
n_body,Os,87,3629
n_body,Os,130,3350
n_body,Os,142,3664
n_body,Os,123,3684
n_body,Os,106,3474
n_body,Os,94,3437
n_body,Os,115,3299
n_body,Os,116,3537
n_body,Os,89,3613
n_body,Os,93,3358
n_body,Os,95,3745
n_body,Os,71,3542
n_body,Os,90,3697
n_body,Os,82,4059
n_body,Os,98,3719
n_body,Os,79,3636
n_body,Os,81,3411
n_body,Os,81,3514
n_body,Os,83,3818
n_body,Os,79,3724
n_body,Os,77,3655
n_body,Os,78,3357
n_body,Os,91,3690
n_body,Os,79,3504
n_body,Os,91,3499
n_body,Os,89,3699
n_body,Os,117,3659
n_body,Os,93,3437
n_body,Os,92,3611
n_body,Os,89,3382
n_body,Os,96,3790
n_body,Os,86,3772
n_body,Os,123,3795
n_body,Os,94,3374
n_body,Os,100,3351
n_body,Os,89,3386
n_body,Os,97,3345
n_body,Os,94,3312
n_body,Os,99,3422
n_body,Os,110,3342
n_body,Os,95,3749
n_body,Os,104,3805
n_body,Os,92,3757
n_body,Os,99,3421
n_body,Os,88,3529
n_body,Os,89,3567
n_body,Os,89,3644
n_body,Os,98,3381
n_body,Os,89,3436
n_body,Os,93,3777
n_body,Os,94,3383
n_body,Os,83,3693
n_body,Os,298,3735
n_body,Os,130,3440
n_body,Os,115,3550
n_body,Os,125,3765
n_body,Os,123,4041
n_body,Os,124,3624
n_body,Os,125,3860
n_body,Os,147,3600
n_body,Os,128,3425
n_body,Os,125,3662
n_body,Os,107,3660
n_body,Os,104,3343
n_body,Os,104,3685
n_body,Os,142,4005
n_body,Os,125,3480
n_body,Os,115,3476
n_body,Os,140,3407
n_body,Os,117,3941
n_body,Os,95,3452
n_body,Os,88,3764
n_body,Os,89,3616
n_body,Os,90,3870
n_body,Os,89,3886
n_body,Os,89,3873
n_body,Os,108,3503
n_body,Os,78,3629
n_body,Os,90,3967
n_body,Os,89,3473
n_body,Os,94,3731
n_body,Os,94,3471
n_body,Os,109,3824
n_body,Os,96,3778
n_body,Os,98,3447
n_body,Os,95,3448
n_body,Os,88,3826
n_body,Os,82,3431
n_body,Os,91,3357
n_body,Os,88,3655
n_body,Os,87,3360
,
